# prefix_bits prefix_mask
5 0
6 16
7 48
9 112
10 368
10 880
10 240
10 752
10 496
10 1008
6 1
7 33
10 97
10 609
10 353
10 865
10 225
10 737
9 481
7 17
10 81
10 593
10 337
10 849
10 209
10 721
9 465
10 49
10 561
10 305
10 817
10 177
10 689
9 433
7 113
6 2
7 34
9 98
10 354
10 866
9 226
9 482
7 18
9 82
10 338
10 850
9 210
9 466
9 50
10 306
10 818
9 178
9 434
7 114
7 3
10 67
10 579
10 323
10 835
8 195
10 35
10 547
10 291
10 803
8 163
7 99
10 19
10 531
10 275
10 787
8 147
7 83
6 51
6 4
7 36
9 100
9 356
10 228
10 740
9 484
7 20
9 84
9 340
10 212
10 724
9 468
9 52
9 308
10 180
10 692
9 436
7 116
7 5
10 69
10 581
9 325
10 197
10 709
9 453
10 37
10 549
9 293
10 165
10 677
9 421
7 101
10 21
10 533
9 277
10 149
10 661
9 405
7 85
6 53
7 6
10 70
10 582
10 326
10 838
10 198
10 710
9 454
10 38
10 550
10 294
10 806
10 166
10 678
9 422
7 102
10 22
10 534
10 278
10 790
10 150
10 662
9 406
7 86
6 54
10 7
10 519
9 263
8 135
7 71
6 39
5 23
6 8
7 40
9 104
10 360
10 872
10 232
10 744
10 488
10 1000
7 24
9 88
10 344
10 856
10 216
10 728
10 472
10 984
9 56
10 312
10 824
10 184
10 696
10 440
10 952
7 120
7 9
10 73
10 585
10 329
10 841
9 201
9 457
10 41
10 553
10 297
10 809
10 169
10 681
9 425
7 105
10 25
10 537
10 281
10 793
10 153
10 665
9 409
7 89
6 57
7 10
9 74
10 330
10 842
9 202
9 458
9 42
10 298
10 810
9 170
9 426
7 106
9 26
10 282
10 794
9 154
9 410
7 90
6 58
10 11
10 523
10 267
10 779
8 139
7 75
6 43
5 27
7 12
9 76
9 332
10 204
10 716
9 460
9 44
9 300
10 172
10 684
9 428
7 108
9 28
9 284
10 156
10 668
9 412
7 92
6 60
10 13
10 525
9 269
10 141
10 653
9 397
7 77
6 45
5 29
10 14
10 526
10 270
10 782
10 142
10 654
9 398
7 78
6 46
5 30
4 15
